transaction_id,transaction_date,facility_name,department,spend_category,vendor_name,product_description,unit_price,quantity,total_amount,contract_type,ppi_flag
TXN-103372,2024-01-01,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,ConvaTec,Negative Pressure Wound Therapy Kit,2669.73,1,2669.73,Local,False
TXN-100223,2024-01-01,Riverside General Hospital,Orthopedics,Orthopedics,Zimmer Biomet,Spinal Rod System (Titanium),2561.47,3,7684.41,Local,True
TXN-101188,2024-01-01,St. Joseph's University Hospital,Biomedical Equipment,Biomedical Equipment,Siemens Healthineers,ECG Machine — 12-Lead,4140.55,3,12421.65,GPO,False
TXN-101222,2024-01-01,Memorial Regional Medical Center,Biomedical Equipment,Biomedical Equipment,GE Healthcare,Infusion Pump — Dual Channel,5143.2,1,5143.2,Off-Contract,False
TXN-102655,2024-01-01,Riverside General Hospital,Surgical Supplies,Surgical Supplies,BD,Surgical Drain — Closed Suction,394.76,6,2368.56,GPO,False
TXN-104438,2024-01-01,Riverside General Hospital,Clinical Engineering Services,Clinical Engineering Services,Philips,On-Call Service Contract — Monthly,14267.06,2,28534.12,Local,False
TXN-100687,2024-01-01,Memorial Regional Medical Center,Orthopedics,Orthopedics,Stryker,Locking Plate System — Distal Radius,2331.72,2,4663.44,Off-Contract,True
TXN-102690,2024-01-01,Riverside General Hospital,Surgical Supplies,Surgical Supplies,Medtronic,Surgical Stapler — Linear,1016.36,6,6098.16,Local,False
TXN-101998,2024-01-02,Valley Health System — Main Campus,Surgical Supplies,Surgical Supplies,BD,Surgical Drain — Closed Suction,309.11,6,1854.66,GPO,False
TXN-103114,2024-01-02,Riverside General Hospital,Biologics & Wound Care,Biologics & Wound Care,Smith+Nephew,Amniotic Membrane Allograft,3683.34,2,7366.68,GPO,True
TXN-101979,2024-01-02,Northside Community Hospital,Surgical Supplies,Surgical Supplies,B.Braun,Laparoscopic Trocar Set,2051.91,9,18467.19,GPO,False
TXN-103505,2024-01-02,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,ConvaTec,NPWT Canister/Dressing Change Kit,429.28,1,429.28,Local,True
TXN-103612,2024-01-02,Memorial Regional Medical Center,Biologics & Wound Care,Biologics & Wound Care,Medtronic,Platelet-Rich Plasma Prep Kit,1283.77,1,1283.77,Local,False
TXN-103690,2024-01-02,St. Joseph's University Hospital,Biologics & Wound Care,Biologics & Wound Care,ConvaTec,Negative Pressure Wound Therapy Kit,3536.31,4,14145.24,Local,True
TXN-102768,2024-01-02,Northside Community Hospital,Surgical Supplies,Surgical Supplies,Baxter,Laparoscopic Trocar Set,1555.1,3,4665.3,GPO,False
TXN-101546,2024-01-02,Riverside General Hospital,Biomedical Equipment,Biomedical Equipment,GE Healthcare,Bed — Med-Surg Electric,18541.14,2,37082.28,Off-Contract,False
TXN-100416,2024-01-02,St. Joseph's University Hospital,Orthopedics,Orthopedics,DePuy Synthes,Partial Knee Unicompartmental System,7034.68,6,42208.08,GPO,True
TXN-100751,2024-01-03,Memorial Regional Medical Center,Orthopedics,Orthopedics,Zimmer Biomet,Reverse Shoulder System,11684.43,2,23368.86,GPO,True
TXN-105021,2024-01-03,Memorial Regional Medical Center,Vascular,Vascular,Medtronic,Central Venous Catheter Kit,234.02,3,702.06,Off-Contract,False
TXN-100407,2024-01-03,Valley Health System — Main Campus,Orthopedics,Orthopedics,Globus Medical,Spinal Rod System (Titanium),3597.61,4,14390.44,Off-Contract,True
TXN-101886,2024-01-03,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,Medtronic,Stapler Reload Cartridge (6-pack),1784.96,8,14279.68,GPO,False
TXN-102637,2024-01-03,Riverside General Hospital,Surgical Supplies,Surgical Supplies,BD,Stapler Reload Cartridge (6-pack),2058.03,5,10290.15,Local,False
TXN-101507,2024-01-03,Northside Community Hospital,Biomedical Equipment,Biomedical Equipment,Siemens Healthineers,Ventilator — ICU,29702.32,1,29702.32,Local,False
TXN-102404,2024-01-03,St. Joseph's University Hospital,Surgical Supplies,Surgical Supplies,B.Braun,Laparoscopic Trocar Set,1347.92,21,28306.32,GPO,False
